platform_label,fixture_id,fixture_family,metadata_control,decoder,decode_policy,jpeg_sha256,jpeg_core_sha256,exif_orientation,icc_profile_sha256,adobe_transform,shape_contract,dtype_contract,exact_pixels,within_one_code_value,reference_bgr_sha256,candidate_bgr_sha256,mean_absolute_error,maximum_absolute_error,changed_sample_fraction,changed_pixel_fraction
macos-arm64-default,rgb_orientation_8,exif_orientation,orientation_8,ffmpeg,raw_ignore_orientation_no_icc_transform,a04f39935dd29ff472e3c26073580b75bf7ee8b98be7355077f523254c0631b0,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,8,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_orientation_8,exif_orientation,orientation_8,opencv,raw_ignore_orientation_no_icc_transform,a04f39935dd29ff472e3c26073580b75bf7ee8b98be7355077f523254c0631b0,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,8,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_orientation_8,exif_orientation,orientation_8,pillow,raw_ignore_orientation_no_icc_transform,a04f39935dd29ff472e3c26073580b75bf7ee8b98be7355077f523254c0631b0,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,8,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_untagged,icc_profile,untagged,ffmpeg,raw_ignore_orientation_no_icc_transform,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,,none,1,1,0,0,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,52a41ba9825f0baf9ab9ef12cf40858e46af58219fe6d818f124328acb40d1c1,0.031205484,2,0.025062322,0.041266026
macos-arm64-default,rgb_untagged,icc_profile,untagged,opencv,raw_ignore_orientation_no_icc_transform,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,rgb_untagged,icc_profile,untagged,pillow,raw_ignore_orientation_no_icc_transform,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,ff8ddc6049d32dcbaff91a3df53c69cbc6a262d87f37066a0c1e0453921f7e24,none,,none,1,1,1,1,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,01fdaa006452e43b9c032d46ca4e20ab47e4e7ad65dd45c28c1f5952250b4aa7,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,ycck_adobe2,four_component_color,adobe_transform_2,ffmpeg,raw_ignore_orientation_no_icc_transform,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,none,,2,1,1,0,0,7e65e6d5bf13977e00821e817be1ff57c7e24fb55b0a358e24d9c6fc32d95c4e,fca9d440634feda845a306cb5bd495e789b8f6bb2a67d949e3cdc36e3bbd1a12,52.663817664,238,0.993812322,1.000000000
macos-arm64-default,ycck_adobe2,four_component_color,adobe_transform_2,opencv,raw_ignore_orientation_no_icc_transform,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,none,,2,1,1,1,1,7e65e6d5bf13977e00821e817be1ff57c7e24fb55b0a358e24d9c6fc32d95c4e,7e65e6d5bf13977e00821e817be1ff57c7e24fb55b0a358e24d9c6fc32d95c4e,0.000000000,0,0.000000000,0.000000000
macos-arm64-default,ycck_adobe2,four_component_color,adobe_transform_2,pillow,raw_ignore_orientation_no_icc_transform,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,61738b0bf87d3e1c4d3a030a18b066362e3656d00d66e0ef1e9bca2cc39386de,none,,2,1,1,0,0,7e65e6d5bf13977e00821e817be1ff57c7e24fb55b0a358e24d9c6fc32d95c4e,9a83413ec263e2f4531cfd11016c1bb991909e2505227e566d1ff43e76184c1b,0.806490385,2,0.787838319,0.993856838
macos-x64-default,cmyk_adobe0,four_component_color,adobe_transform_0,ffmpeg,raw_ignore_orientation_no_icc_transform,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,b526b61b747f9e2b5cdf2f32a14ba07f6d832f168eb80e5621f029edc407fcd5,none,,0,1,1,0,0,2aff236db4c2b33666e8f7f37e4c013408e34fdfee359daf64d5cfe0de97776c,77e174f28a7a6ee5f40c95db9d767a555342fb8f2f14e133f9ffd58c7e276574,1.343126781,3,0.999243234,1.000000000
