report_family,group_id,fixture_family,fixture_id,adapter_or_policy,platform_profiles,observations,shape_contract_rate,dtype_contract_rate,exact_pixel_rate,unique_candidate_hashes,mean_absolute_error_min,mean_absolute_error_max,maximum_absolute_error_max
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_5:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_5,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_5:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_5,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_5:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_5,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_6:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_6,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_6:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_6,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_6:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_6,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_7:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_7,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_7:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_7,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_7:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_7,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_8:ffmpeg,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_8,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_8:opencv,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_8,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,exif_raw_metadata_invariance:rgb_orientation_1:rgb_orientation_8:pillow,exif_raw_metadata_invariance,rgb_orientation_1->rgb_orientation_8,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,icc_managed_profile_response:rgb_icc_gamma_1_0:rgb_icc_gamma_2_2:pillow_imagecms,icc_managed_profile_response,rgb_icc_gamma_1_0->rgb_icc_gamma_2_2,pillow_imagecms,5,5,1.000000,1.000000,0.000000,1,48.901620370,48.901620370,76
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_1_0:ffmpeg,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_1_0,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_1_0:opencv,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_1_0,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_1_0:pillow,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_1_0,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_2_2:ffmpeg,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_2_2,ffmpeg,5,5,1.000000,1.000000,1.000000,2,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_2_2:opencv,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_2_2,opencv,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
control_pair,icc_raw_metadata_invariance:rgb_untagged:rgb_icc_gamma_2_2:pillow,icc_raw_metadata_invariance,rgb_untagged->rgb_icc_gamma_2_2,pillow,5,5,1.000000,1.000000,1.000000,1,0.000000000,0.000000000,0
