pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std
gaussian_denoise,Gaussian low-pass sigma 1,5,1,laplacian_variance,30,0.311865,0.025289,0.282955,0.308971,0.344266,0.020101,0.003122
gaussian_denoise,Gaussian low-pass sigma 1,5,1,tenengrad_energy,30,0.678352,0.046193,0.633770,0.660553,0.740754,0.321209,0.045682
gaussian_denoise,Gaussian low-pass sigma 1,5,2,laplacian_variance,30,0.237731,0.026452,0.217089,0.221181,0.275003,0.006595,0.001879
gaussian_denoise,Gaussian low-pass sigma 1,5,2,tenengrad_energy,30,0.757186,0.069138,0.686972,0.735380,0.849206,0.145395,0.056576
gaussian_denoise,Gaussian low-pass sigma 1,5,3,laplacian_variance,30,0.087949,0.026295,0.054070,0.092651,0.117237,0.002172,0.001529
gaussian_denoise,Gaussian low-pass sigma 1,5,3,tenengrad_energy,30,0.749815,0.073185,0.676220,0.725740,0.847533,0.049733,0.039688
gaussian_denoise,Gaussian low-pass sigma 1,15,0,laplacian_variance,30,0.045747,0.011713,0.029854,0.050556,0.056889,0.046214,0.009869
gaussian_denoise,Gaussian low-pass sigma 1,15,0,tenengrad_energy,30,0.468431,0.040393,0.412254,0.494368,0.498715,0.445315,0.053255
gaussian_denoise,Gaussian low-pass sigma 1,15,1,laplacian_variance,30,0.114517,0.017489,0.101841,0.102819,0.139074,0.020568,0.003148
gaussian_denoise,Gaussian low-pass sigma 1,15,1,tenengrad_energy,30,0.656426,0.043871,0.614368,0.639020,0.716017,0.313546,0.044771
gaussian_denoise,Gaussian low-pass sigma 1,15,2,laplacian_variance,30,0.042973,0.005876,0.038616,0.039172,0.051328,0.007398,0.002144
gaussian_denoise,Gaussian low-pass sigma 1,15,2,tenengrad_energy,30,0.703713,0.076363,0.620879,0.687458,0.802844,0.146012,0.055154
gaussian_denoise,Gaussian low-pass sigma 1,15,3,laplacian_variance,30,0.015800,0.003516,0.011277,0.016335,0.019794,0.003045,0.001887
gaussian_denoise,Gaussian low-pass sigma 1,15,3,tenengrad_energy,30,0.587077,0.127808,0.444071,0.566023,0.750648,0.051543,0.039748
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,0,laplacian_variance,30,1.260936,0.375328,1.000000,1.000000,1.782808,1.260936,0.375328
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,0,tenengrad_energy,30,1.115055,0.165493,1.000000,1.000000,1.345164,1.115055,0.165493
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,1,laplacian_variance,30,1.510546,0.078658,1.401586,1.556834,1.573217,0.074720,0.021521
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,1,tenengrad_energy,30,1.192116,0.028420,1.154800,1.199511,1.222036,0.562024,0.042475
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,2,laplacian_variance,30,1.167247,0.035876,1.119472,1.178709,1.203561,0.010000,0.001592
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,2,tenengrad_energy,30,1.132882,0.040462,1.079014,1.145760,1.173873,0.208209,0.054326
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,3,laplacian_variance,30,1.203362,0.069358,1.117150,1.209041,1.283896,0.002982,0.001768
unsharp_0_5,"Unsharp amount 0.5, sigma 1",0,3,tenengrad_energy,30,1.124495,0.034379,1.077812,1.138933,1.156741,0.066188,0.046523
unsharp_0_5,"Unsharp amount 0.5, sigma 1",5,0,laplacian_variance,30,1.273722,0.345657,1.031616,1.035125,1.755180,1.266239,0.370077
