pattern,blur_sigma,quality,chroma_sampling,encoder_path,encoder_path_description,decoder,metric,score,uncompressed_score,ratio_to_uncompressed,encoded_size_bytes,encoded_sha256,decoded_sha256,quantization_fingerprint,component_signature
achromatic_checkerboard,0,75,444,pillow_quality,"Pillow numeric quality, default Huffman coding",opencv,tenengrad_energy,233802.000000,233802.000000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_quality,"Pillow numeric quality, default Huffman coding",pillow,laplacian_variance,22180.500000,22180.500000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_quality,"Pillow numeric quality, default Huffman coding",pillow,tenengrad_energy,233802.000000,233802.000000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,opencv,laplacian_variance,22180.500000,22180.500000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,opencv,tenengrad_energy,233802.000000,233802.000000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,pillow,laplacian_variance,22180.500000,22180.500000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_explicit_dqt,Pillow explicit OpenCV-extracted DQT tables,pillow,tenengrad_energy,233802.000000,233802.000000,1.000000,3907,9f3d3d87a867350d9e521b6e41ca4c53f4b1e6d150365faf2683099611d4960b,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",opencv,laplacian_variance,22180.500000,22180.500000,1.000000,2048,2f344cc587d7e76313ade64b44fa6eea28b1c15028f04a7ad1c6d24c5b494f34,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",opencv,tenengrad_energy,233802.000000,233802.000000,1.000000,2048,2f344cc587d7e76313ade64b44fa6eea28b1c15028f04a7ad1c6d24c5b494f34,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",pillow,laplacian_variance,22180.500000,22180.500000,1.000000,2048,2f344cc587d7e76313ade64b44fa6eea28b1c15028f04a7ad1c6d24c5b494f34,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,444,pillow_optimized,"Pillow numeric quality, optimized Huffman coding",pillow,tenengrad_energy,233802.000000,233802.000000,1.000000,2048,2f344cc587d7e76313ade64b44fa6eea28b1c15028f04a7ad1c6d24c5b494f34,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:1x1:q0;2:1x1:q1;3:1x1:q1
achromatic_checkerboard,0,75,420,opencv_quality,"OpenCV numeric quality, default Huffman coding",opencv,laplacian_variance,22180.500000,22180.500000,1.000000,2419,0b40f5cba0413d4af4808ba82d2257ddc9c01ed4496c62a2899357534c68af7e,b46c4a2fc79221956e5112e099c2ba1b73a2b5f1d33798dcf5f804e174b478c8,648a97dd92ddea908c8ff9414e3b9dac49ee23e89b0dca6127194554438d0514,1:2x2:q0;2:1x1:q1;3:1x1:q1
