report_family,fixture_id,fixture_family,mutation,adapter,platform_profiles,observations,strict_accept_rate,decode_success_rate,shape_contract_rate,dtype_contract_rate,exact_success_rate,exact_rate_among_successes,unique_output_hashes,error_categories,unique_diagnostic_hashes,mean_absolute_error_min,mean_absolute_error_max,maximum_absolute_error_max
fixture_decoder,icc_gamma_2_2_valid,valid_icc,single_complete_chunk,pillow,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_gamma_2_2_valid,valid_icc,single_complete_chunk,ffmpeg,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,icc_missing_second_chunk,malformed_icc,declared_two_observed_one,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_missing_second_chunk,malformed_icc,declared_two_observed_one,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_missing_second_chunk,malformed_icc,declared_two_observed_one,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_missing_second_chunk,malformed_icc,declared_two_observed_one,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,icc_truncated_chunk_header,malformed_icc,missing_chunk_count,all_decoders,5,15,0.000000,0.666667,0.666667,0.666667,0.666667,1.000000,3,decoder_rejected,1,0.000000000,0.000000000,0
fixture_decoder,icc_truncated_chunk_header,malformed_icc,missing_chunk_count,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_truncated_chunk_header,malformed_icc,missing_chunk_count,pillow,5,5,0.000000,0.000000,0.000000,0.000000,0.000000,nan,0,decoder_rejected,1,nan,nan,nan
fixture_decoder,icc_truncated_chunk_header,malformed_icc,missing_chunk_count,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,icc_truncated_profile,malformed_icc,profile_size_mismatch,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_truncated_profile,malformed_icc,profile_size_mismatch,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_truncated_profile,malformed_icc,profile_size_mismatch,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_truncated_profile,malformed_icc,profile_size_mismatch,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,icc_zero_sequence,malformed_icc,zero_sequence_number,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_zero_sequence,malformed_icc,zero_sequence_number,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_zero_sequence,malformed_icc,zero_sequence_number,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,icc_zero_sequence,malformed_icc,zero_sequence_number,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,rgb_control,control,none,all_decoders,5,15,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,rgb_control,control,none,opencv,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,rgb_control,control,none,pillow,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,rgb_control,control,none,ffmpeg,5,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
fixture_overall,trailing_data_after_eoi,malformed_framing,eight_trailing_bytes,all_decoders,5,15,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3,none,0,0.000000000,0.000000000,0
fixture_decoder,trailing_data_after_eoi,malformed_framing,eight_trailing_bytes,opencv,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,trailing_data_after_eoi,malformed_framing,eight_trailing_bytes,pillow,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,none,0,0.000000000,0.000000000,0
fixture_decoder,trailing_data_after_eoi,malformed_framing,eight_trailing_bytes,ffmpeg,5,5,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,2,none,0,0.000000000,0.000000000,0
