pattern,noise_std,trial,seed,configuration,window_size,stride,metric,positive_window_count,minimum_ratio,minimum_ratio_window_coverage,average_precision
vertical_bars,0,0,20270922,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
vertical_bars,0,0,20270922,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,0,20270922,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,0,20270922,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,0,1,20270923,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
vertical_bars,0,1,20270923,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,1,20270923,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,1,20270923,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,0,2,20270924,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
vertical_bars,0,2,20270924,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,2,20270924,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,2,20270924,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,0,3,20270925,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
vertical_bars,0,3,20270925,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,3,20270925,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,3,20270925,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,0,4,20270926,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
vertical_bars,0,4,20270926,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,4,20270926,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,4,20270926,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,0,5,20270927,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
vertical_bars,0,5,20270927,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,5,20270927,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,5,20270927,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,0,6,20270928,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
vertical_bars,0,6,20270928,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,6,20270928,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,6,20270928,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,0,7,20270929,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
vertical_bars,0,7,20270929,overlap_64,64,32,tenengrad_energy,5,0.128390,1.000000,1.000000
vertical_bars,0,7,20270929,fine_32,32,16,laplacian_variance,21,0.023765,1.000000,1.000000
vertical_bars,0,7,20270929,fine_32,32,16,tenengrad_energy,21,0.140561,1.000000,1.000000
vertical_bars,0,8,20270930,overlap_64,64,32,laplacian_variance,5,0.012988,1.000000,1.000000
