pattern,placement,blur_sigma,configuration,window_size,stride,metric,window_count,positive_window_count,max_window_coverage,minimum_ratio,minimum_ratio_window_coverage,best_coverage_ratio,average_precision
vertical_bars,offset_16,3,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.757910,0.250000,0.757910,
vertical_bars,offset_32,1,nonoverlap_64,64,64,laplacian_variance,16,0,0.250000,0.769000,0.250000,0.769000,
vertical_bars,offset_32,1,nonoverlap_64,64,64,tenengrad_energy,16,0,0.250000,0.877038,0.250000,0.877038,
vertical_bars,offset_32,1,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.100654,1.000000,0.100654,1.000000
vertical_bars,offset_32,1,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.514086,1.000000,0.514086,1.000000
vertical_bars,offset_32,1,fine_32,32,16,laplacian_variance,225,21,1.000000,0.152941,1.000000,0.152941,1.000000
vertical_bars,offset_32,1,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.531667,1.000000,0.531667,1.000000
vertical_bars,offset_32,1,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.744206,0.250000,0.744206,
vertical_bars,offset_32,1,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.865420,0.250000,0.865420,
vertical_bars,offset_32,2,nonoverlap_64,64,64,laplacian_variance,16,0,0.250000,0.750736,0.250000,0.750736,
vertical_bars,offset_32,2,nonoverlap_64,64,64,tenengrad_energy,16,0,0.250000,0.813729,0.250000,0.813729,
vertical_bars,offset_32,2,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.030248,1.000000,0.030248,1.000000
vertical_bars,offset_32,2,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.278064,1.000000,0.278064,1.000000
vertical_bars,offset_32,2,fine_32,32,16,laplacian_variance,225,21,1.000000,0.055958,1.000000,0.055958,1.000000
vertical_bars,offset_32,2,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.300787,1.000000,0.300787,1.000000
vertical_bars,offset_32,2,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.730414,0.250000,0.730414,
vertical_bars,offset_32,2,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.797234,0.250000,0.797234,
vertical_bars,offset_32,3,nonoverlap_64,64,64,laplacian_variance,16,0,0.250000,0.748953,0.250000,0.748953,
vertical_bars,offset_32,3,nonoverlap_64,64,64,tenengrad_energy,16,0,0.250000,0.774844,0.250000,0.774844,
vertical_bars,offset_32,3,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.012988,1.000000,0.012988,1.000000
vertical_bars,offset_32,3,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.128390,1.000000,0.128390,1.000000
vertical_bars,offset_32,3,fine_32,32,16,laplacian_variance,225,21,1.000000,0.023765,1.000000,0.023765,1.000000
vertical_bars,offset_32,3,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.140561,1.000000,0.140561,1.000000
vertical_bars,offset_32,3,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.731337,0.250000,0.731337,
vertical_bars,offset_32,3,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.757910,0.250000,0.757910,
concentric_tiles,aligned,1,nonoverlap_64,64,64,laplacian_variance,16,1,1.000000,0.036624,1.000000,0.036624,1.000000
concentric_tiles,aligned,1,nonoverlap_64,64,64,tenengrad_energy,16,1,1.000000,0.505338,1.000000,0.505338,1.000000
concentric_tiles,aligned,1,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.036624,1.000000,0.036624,1.000000
concentric_tiles,aligned,1,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.505338,1.000000,0.505338,1.000000
concentric_tiles,aligned,1,fine_32,32,16,laplacian_variance,225,21,1.000000,0.036824,1.000000,0.044256,1.000000
concentric_tiles,aligned,1,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.496078,1.000000,0.501187,1.000000
concentric_tiles,aligned,1,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.760368,0.250000,0.760368,
concentric_tiles,aligned,1,coarse_128,128,64,tenengrad_energy,9,0,0.250000,0.875950,0.250000,0.875950,
concentric_tiles,aligned,2,nonoverlap_64,64,64,laplacian_variance,16,1,1.000000,0.008103,1.000000,0.008103,1.000000
concentric_tiles,aligned,2,nonoverlap_64,64,64,tenengrad_energy,16,1,1.000000,0.159090,1.000000,0.159090,1.000000
concentric_tiles,aligned,2,overlap_64,64,32,laplacian_variance,49,5,1.000000,0.008103,1.000000,0.008103,1.000000
concentric_tiles,aligned,2,overlap_64,64,32,tenengrad_energy,49,5,1.000000,0.159090,1.000000,0.159090,1.000000
concentric_tiles,aligned,2,fine_32,32,16,laplacian_variance,225,21,1.000000,0.008215,1.000000,0.010326,1.000000
concentric_tiles,aligned,2,fine_32,32,16,tenengrad_energy,225,21,1.000000,0.155360,1.000000,0.157146,1.000000
concentric_tiles,aligned,2,coarse_128,128,64,laplacian_variance,9,0,0.250000,0.755194,0.250000,0.755194,
