history,history_description,alignment,crop_offset,noise_std,blur_sigma,metric,observations,score_mean,score_sample_std,primary_ratio_mean,primary_ratio_sample_std,primary_ratio_p10,primary_ratio_median,primary_ratio_p90,uncompressed_ratio_mean,uncompressed_ratio_sample_std
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,0,2,laplacian_variance,15,135.848584,163.503260,0.993865,0.005889,0.986295,0.995289,1.000012,1.934991,0.115186
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,0,2,tenengrad_energy,15,13358.912791,13941.136725,1.000236,0.000510,0.999761,1.000031,1.000915,1.029659,0.019409
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,0,3,laplacian_variance,15,35.185772,30.785728,0.987032,0.010616,0.976148,0.984170,1.000777,2.085045,0.261759
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,0,3,tenengrad_energy,15,3735.246368,2911.367718,1.000718,0.001337,0.999121,1.000748,1.002284,1.038968,0.021020
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,15,0,laplacian_variance,15,8398.091437,10341.550493,1.009651,0.010747,1.000425,1.004430,1.024744,0.583395,0.290864
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,15,0,tenengrad_energy,15,89806.393514,107192.990505,1.007106,0.008901,1.000239,1.001837,1.019542,0.973677,0.030140
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,15,1,laplacian_variance,15,1039.994494,833.544793,1.019473,0.004995,1.013488,1.019846,1.025808,0.376782,0.218824
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,15,1,tenengrad_energy,15,39489.697202,44290.675039,1.007885,0.008900,1.001343,1.002342,1.020127,0.962904,0.045670
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,15,2,laplacian_variance,15,499.825074,159.702157,1.022479,0.003459,1.017786,1.023710,1.026092,0.237477,0.062962
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,15,2,tenengrad_energy,15,15333.051560,14008.443450,1.009753,0.009107,1.001929,1.005259,1.022059,0.949557,0.050170
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,15,3,laplacian_variance,15,405.451894,31.563187,1.024487,0.001456,1.023083,1.024315,1.026659,0.199897,0.013343
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,aligned,0,15,3,tenengrad_energy,15,5730.365283,2847.879123,1.012949,0.007890,1.006556,1.008510,1.023864,0.933392,0.040609
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,0,0,laplacian_variance,15,9691.412250,12705.101940,1.063140,0.080670,0.998139,1.018557,1.172723,0.931390,0.263065
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,0,0,tenengrad_energy,15,90269.866689,109691.894975,1.004408,0.005562,0.998498,1.003227,1.011499,1.010591,0.016867
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,0,1,laplacian_variance,15,576.821355,695.430526,0.915428,0.147875,0.760931,0.879930,1.105423,1.453392,0.226513
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,0,1,tenengrad_energy,15,37545.385112,44310.604392,0.993126,0.006571,0.985317,0.993193,1.000867,0.997996,0.013603
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,0,2,laplacian_variance,15,83.526990,93.405489,0.784490,0.150644,0.591666,0.818570,0.943233,1.600241,0.367104
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,0,2,tenengrad_energy,15,13512.215474,14069.576605,1.001827,0.005512,0.994826,1.002927,1.007729,1.031581,0.017621
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,0,3,laplacian_variance,15,31.708277,30.940970,0.833002,0.131174,0.654887,0.904871,0.939249,1.778014,0.041223
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,0,3,tenengrad_energy,15,3716.433289,2856.941169,1.002106,0.006338,0.996860,0.998763,1.010696,1.041431,0.022333
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,15,0,laplacian_variance,15,9905.972873,12608.970835,0.997687,0.129571,0.851174,0.976244,1.161191,0.618166,0.373791
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,15,0,tenengrad_energy,15,92117.310091,110030.503236,0.998418,0.003701,0.993923,0.998871,1.001599,0.965697,0.041407
gray_q50_to_q75,grayscale JPEG quality 50 to quality 75,shifted_4x4,4,15,1,laplacian_variance,15,960.355845,814.081163,0.897379,0.077642,0.791998,0.931088,0.966428,0.345722,0.221340
