pattern,blur_sigma,quality,chroma_sampling,encoder_path,encoded_sha256,decoded_pixels_equal,pixel_mae,pixel_max_abs_error,changed_pixel_fraction,opencv_decoded_sha256,pillow_decoded_sha256,laplacian_pillow_to_opencv_ratio,tenengrad_pillow_to_opencv_ratio
achromatic_checkerboard,1,75,444,pillow_explicit_dqt,1d63df2e2a527cc83f9753eafebcaaf1c2b2209a60341d9ec7763677c6c9dd11,1,0.000000,0,0.000000,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,1.000000,1.000000
achromatic_checkerboard,1,75,444,pillow_optimized,438a4b3e488895433379a96f0308efe4c1768ffa641731d9941c4bb50efdbc31,1,0.000000,0,0.000000,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,1.000000,1.000000
achromatic_checkerboard,1,75,420,opencv_quality,0f9864498233c4c484027866f08764df9b5b8a573bb09f1a157b4dc72adbc359,1,0.000000,0,0.000000,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,1.000000,1.000000
achromatic_checkerboard,1,75,420,pillow_quality,0f9864498233c4c484027866f08764df9b5b8a573bb09f1a157b4dc72adbc359,1,0.000000,0,0.000000,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,1.000000,1.000000
achromatic_checkerboard,1,75,420,pillow_explicit_dqt,0f9864498233c4c484027866f08764df9b5b8a573bb09f1a157b4dc72adbc359,1,0.000000,0,0.000000,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,1.000000,1.000000
achromatic_checkerboard,1,75,420,pillow_optimized,7523e8d640f3a74a9ef46144b89f5a21499abb05f466e33324ceb262be576590,1,0.000000,0,0.000000,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,c0e4d52afc5696e3d093ba6129845e9df6aaccaf7a44d8ff831b09df17cc1816,1.000000,1.000000
achromatic_checkerboard,1,95,444,opencv_quality,85506da103c1a7b804d0bec48182fcbbe72bdb1606823779a94b73c4fb566234,1,0.000000,0,0.000000,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,1.000000,1.000000
achromatic_checkerboard,1,95,444,pillow_quality,85506da103c1a7b804d0bec48182fcbbe72bdb1606823779a94b73c4fb566234,1,0.000000,0,0.000000,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,1.000000,1.000000
achromatic_checkerboard,1,95,444,pillow_explicit_dqt,85506da103c1a7b804d0bec48182fcbbe72bdb1606823779a94b73c4fb566234,1,0.000000,0,0.000000,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,1.000000,1.000000
achromatic_checkerboard,1,95,444,pillow_optimized,88346a1e20af3e7282e39d6278045c06a7366c6b5cf9d49eff79c10d13fa7ecc,1,0.000000,0,0.000000,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,1.000000,1.000000
achromatic_checkerboard,1,95,420,opencv_quality,43e2ae15ad34c781126456847b418bf634c047a5959b84de7323fdf60f7d10cf,1,0.000000,0,0.000000,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,1.000000,1.000000
achromatic_checkerboard,1,95,420,pillow_quality,43e2ae15ad34c781126456847b418bf634c047a5959b84de7323fdf60f7d10cf,1,0.000000,0,0.000000,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,1.000000,1.000000
achromatic_checkerboard,1,95,420,pillow_explicit_dqt,43e2ae15ad34c781126456847b418bf634c047a5959b84de7323fdf60f7d10cf,1,0.000000,0,0.000000,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,1.000000,1.000000
achromatic_checkerboard,1,95,420,pillow_optimized,a44c86c15a3a789f2398789c92d5ff1d07280d1b16f5c8dc0545b71439df143b,1,0.000000,0,0.000000,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,20bc1415251e9afa97a30763499cff078925468ef90999dd615d2848f9d6424d,1.000000,1.000000
achromatic_checkerboard,2,50,444,opencv_quality,b738011078178d32da6f6eb072ec56c3957b1ebc1a3fbba7a6646461dbbb1d4a,1,0.000000,0,0.000000,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,1.000000,1.000000
achromatic_checkerboard,2,50,444,pillow_quality,b738011078178d32da6f6eb072ec56c3957b1ebc1a3fbba7a6646461dbbb1d4a,1,0.000000,0,0.000000,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,1.000000,1.000000
achromatic_checkerboard,2,50,444,pillow_explicit_dqt,b738011078178d32da6f6eb072ec56c3957b1ebc1a3fbba7a6646461dbbb1d4a,1,0.000000,0,0.000000,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,1.000000,1.000000
achromatic_checkerboard,2,50,444,pillow_optimized,85f7de1a8480834e2bae3fd5b291e923cfce0e1dfa89d59062e45b86c1ba239b,1,0.000000,0,0.000000,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,1.000000,1.000000
achromatic_checkerboard,2,50,420,opencv_quality,58deedea1fb3d0da9c16b947607d3fd5ce20e98f3e90d3d3badae7a92a0af11b,1,0.000000,0,0.000000,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,1.000000,1.000000
achromatic_checkerboard,2,50,420,pillow_quality,58deedea1fb3d0da9c16b947607d3fd5ce20e98f3e90d3d3badae7a92a0af11b,1,0.000000,0,0.000000,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,1.000000,1.000000
achromatic_checkerboard,2,50,420,pillow_explicit_dqt,58deedea1fb3d0da9c16b947607d3fd5ce20e98f3e90d3d3badae7a92a0af11b,1,0.000000,0,0.000000,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,1.000000,1.000000
achromatic_checkerboard,2,50,420,pillow_optimized,3d349cc1710e5f81958c4a0407288424c76dcb36730a5eb7194647d1617855d9,1,0.000000,0,0.000000,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,c637ec7500726197f092177e15b93aab73a5c95073bcc099fc9a28d3ed9591bd,1.000000,1.000000
