pattern,gradient_axis_degrees,condition,blur_model,defocus_radius,motion_length,motion_angle_degrees,relative_motion_angle_degrees,noise_std,metric,trials,score_mean,score_sample_std,score_p10,score_median,score_p90,ratio_mean,ratio_sample_std,ratio_p10,ratio_median,ratio_p90
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,5,tenengrad_energy,10,36039.644238,16.705263,36023.669305,36036.880066,36058.595181,0.630544,0.000060,0.630475,0.630532,0.630605
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,15,laplacian_variance,10,4587.144677,16.128362,4570.050294,4584.851949,4605.038106,1.027923,0.001778,1.025660,1.028348,1.029912
grating_0,0,motion_l9_a135,linear_motion,,9,135,45,15,tenengrad_energy,10,40836.121005,99.597675,40714.483960,40841.402421,40943.117712,0.665082,0.000574,0.664502,0.665103,0.665749
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,0,laplacian_variance,10,2.675766,0.000000,2.675766,2.675766,2.675766,0.017961,0.000000,0.017961,0.017961,0.017961
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,0,tenengrad_energy,10,972.812500,0.000000,972.812500,972.812500,972.812500,0.017200,0.000000,0.017200,0.017200,0.017200
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,5,laplacian_variance,10,507.232583,3.526978,504.367657,506.928640,512.202624,0.776193,0.001413,0.774933,0.775948,0.778146
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,5,tenengrad_energy,10,1574.161340,4.719004,1569.957446,1572.975830,1581.147125,0.027541,0.000075,0.027472,0.027519,0.027647
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,15,laplacian_variance,10,4505.353413,16.467372,4487.450067,4502.725457,4522.361291,1.009594,0.001923,1.007186,1.009626,1.011976
grating_0,0,motion_l15_a0,linear_motion,,15,0,0,15,tenengrad_energy,10,6355.986746,41.262511,6308.771212,6350.217071,6400.623837,0.103517,0.000523,0.102874,0.103469,0.104043
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,0,laplacian_variance,10,30.909409,0.000000,30.909409,30.909409,30.909409,0.207474,0.000000,0.207474,0.207474,0.207474
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,0,tenengrad_energy,10,12224.312500,0.000000,12224.312500,12224.312500,12224.312500,0.216138,0.000000,0.216138,0.216138,0.216138
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,5,laplacian_variance,10,535.461484,3.514796,532.621201,535.161813,540.425289,0.819392,0.001171,0.818320,0.819217,0.821023
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,5,tenengrad_energy,10,12824.656751,10.234825,12815.288006,12823.036499,12836.510834,0.224378,0.000097,0.224289,0.224361,0.224510
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,15,laplacian_variance,10,4533.576625,16.484190,4515.595858,4530.919950,4550.810317,1.015918,0.001930,1.013516,1.015953,1.018337
grating_0,0,motion_l15_a45,linear_motion,,15,45,45,15,tenengrad_energy,10,17618.863040,71.264960,17537.035364,17617.749252,17695.484826,0.286951,0.000707,0.286222,0.286940,0.287735
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,0,laplacian_variance,10,148.979477,0.000000,148.979477,148.979477,148.979477,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,0,tenengrad_energy,10,56557.937500,0.000000,56557.937500,56557.937500,56557.937500,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,5,laplacian_variance,10,653.482246,3.409831,650.783371,653.260460,658.234436,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,5,tenengrad_energy,10,57156.435803,21.426072,57135.222335,57152.642395,57182.791812,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,15,laplacian_variance,10,4462.540865,14.228881,4445.864665,4462.164121,4482.478198,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a90,linear_motion,,15,90,90,15,tenengrad_energy,10,61400.040115,100.282758,61270.676899,61398.662995,61499.303687,1.000000,0.000000,1.000000,1.000000,1.000000
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,0,laplacian_variance,10,30.909409,0.000000,30.909409,30.909409,30.909409,0.207474,0.000000,0.207474,0.207474,0.207474
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,0,tenengrad_energy,10,12224.312500,0.000000,12224.312500,12224.312500,12224.312500,0.216138,0.000000,0.216138,0.216138,0.216138
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,5,laplacian_variance,10,535.461484,3.514796,532.621201,535.161813,540.425289,0.819392,0.001171,0.818320,0.819217,0.821023
grating_0,0,motion_l15_a135,linear_motion,,15,135,45,5,tenengrad_energy,10,12824.656751,10.234825,12815.288006,12823.036499,12836.510834,0.224378,0.000097,0.224289,0.224361,0.224510
