stage,control_id,face_index,surface_type,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,u_span,v_span,axis_origin,axis_direction,radius,radial_polarity,maximum_absolute_curvature,wire_count,inner_wire_count,edge_count,maximum_edge_length,adjacent_face_indices
step_imported,chamfer_operation,2,plane,71.5,5.9603729603729603,0,2.9813519813519811,0,-1,-0,6,12,,,,,0,1,0,5,12,1|3|4|6|7
step_imported,chamfer_operation,3,plane,11.313708498984761,11.5,4,5.5,0.70710678118654757,0,0.70710678118654757,8,1.4142135623730954,,,,,0,1,0,4,8,1|2|5|6
step_imported,chamfer_operation,4,plane,96,6,4,0,-0,-0,-1,12,8,,,,,0,1,0,4,12,1|2|5|7
step_imported,chamfer_operation,5,plane,71.5,5.9603729603729603,8,2.9813519813519811,-0,1,0,6,12,,,,,0,1,0,5,12,1|3|4|6|7
step_imported,chamfer_operation,6,plane,88,5.5,4,6,0,0,1,11,8,,,,,0,1,0,4,11,2|3|5|7
step_imported,chamfer_operation,7,plane,48,0,4,3,-1,-0,0,6,8,,,,,0,1,0,4,8,2|4|5|6
constructed,equivalent_bevel,1,plane,96,6,4,0,0,0,-1,12,8,,,,,0,1,0,4,12,2|5|6|7
constructed,equivalent_bevel,2,plane,39.999999999999993,12,4,2.5,1,0,-0,5,8,,,,,0,1,0,4,8,1|3|6|7
constructed,equivalent_bevel,3,plane,11.313708498984759,11.500000000000002,4,5.5,0.70710678118654757,0,0.70710678118654757,1.4142135623730951,8,,,,,0,1,0,4,8,2|4|6|7
constructed,equivalent_bevel,4,plane,88,5.5,4,6,0,0,1,11,8,,,,,0,1,0,4,11,3|5|6|7
constructed,equivalent_bevel,5,plane,48,0,4,3,-1,0,0,6,8,,,,,0,1,0,4,8,1|4|6|7
constructed,equivalent_bevel,6,plane,71.5,5.9603729603729603,0,2.9813519813519815,0,-1,-0,6,12,,,,,0,1,0,5,12,1|2|3|4|5
constructed,equivalent_bevel,7,plane,71.5,5.9603729603729603,8,2.9813519813519815,-0,1,0,6,12,,,,,0,1,0,5,12,1|2|3|4|5
step_imported,equivalent_bevel,1,plane,96,6,4,0,0,0,-1,12,8,,,,,0,1,0,4,12,2|5|6|7
step_imported,equivalent_bevel,2,plane,39.999999999999993,12,4,2.5,1,0,-0,5,8,,,,,0,1,0,4,8,1|3|6|7
step_imported,equivalent_bevel,3,plane,11.313708498984759,11.500000000000002,4,5.5,0.70710678118654757,0,0.70710678118654757,1.4142135623730951,8,,,,,0,1,0,4,8,2|4|6|7
step_imported,equivalent_bevel,4,plane,88,5.5,4,6,0,0,1,11,8,,,,,0,1,0,4,11,3|5|6|7
step_imported,equivalent_bevel,5,plane,48,0,4,3,-1,0,0,6,8,,,,,0,1,0,4,8,1|4|6|7
step_imported,equivalent_bevel,6,plane,71.5,5.9603729603729603,0,2.9813519813519815,0,-1,-0,6,12,,,,,0,1,0,5,12,1|2|3|4|5
step_imported,equivalent_bevel,7,plane,71.5,5.9603729603729603,8,2.9813519813519815,-0,1,0,6,12,,,,,0,1,0,5,12,1|2|3|4|5
constructed,fillet_operation,1,plane,39.999999999999993,12,4,2.5,1,0,-0,5,8,,,,,0,1,0,4,8,2|3|4|5
constructed,fillet_operation,2,plane,71.785398163397446,5.9827308076378198,0,2.9916992820947312,0,-1,-0,6,12,,,,,0,1,0,5,12,1|3|4|6|7
