platform_label,observation_id,control_id,stage,entity_type,analysis_local_index,tolerance
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,3,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,4,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,5,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,6,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,7,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,8,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,9,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,10,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,11,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,vertex,12,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,1,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,2,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,3,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,4,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,5,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,6,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,7,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,8,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,9,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,10,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,11,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,12,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,13,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,14,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,15,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,edge,16,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,face,1,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,face,2,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,face,3,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,face,4,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,face,5,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_7,small_gap_box_faces,sewn,face,6,9.9999999999999995e-08
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,vertex,1,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,vertex,2,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,vertex,3,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,vertex,4,1.0000000000000002e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,vertex,5,5.2499999960708974e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,vertex,6,5.2499999960708974e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,vertex,7,5.2499999960708974e-07
linux-x64-reference,small_gap_box_faces__sewn_tol_1e_6,small_gap_box_faces,sewn,vertex,8,5.2499999960708974e-07
