pattern,placement,region_top,region_left,region_size,blur_sigma,configuration,window_size,stride,window_row,window_column,row_start,column_start,coverage_fraction,is_positive,laplacian_variance_reference,laplacian_variance_observed,laplacian_variance_ratio,tenengrad_energy_reference,tenengrad_energy_observed,tenengrad_energy_ratio
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,10,16,160,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,11,16,176,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,12,16,192,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,13,16,208,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,1,14,16,224,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,0,32,0,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,1,32,16,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,2,32,32,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,3,32,48,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,4,32,64,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,5,32,80,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,6,32,96,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,7,32,112,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,8,32,128,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,9,32,144,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,10,32,160,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,11,32,176,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,12,32,192,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,13,32,208,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,2,14,32,224,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,0,48,0,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,1,48,16,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,2,48,32,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,3,48,48,0.250000,0,28956.445312,21497.767578,0.742417,335285.156250,285787.419922,0.852371
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,4,48,64,0.500000,1,28956.445312,15013.546875,0.518487,335285.156250,237575.191406,0.708577
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,5,48,80,0.500000,1,28956.445312,15013.546875,0.518487,335285.156250,237575.191406,0.708577
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,6,48,96,0.500000,1,28956.445312,15013.546875,0.518487,335285.156250,237575.191406,0.708577
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,7,48,112,0.250000,0,28956.445312,21497.767578,0.742417,335285.156250,285787.419922,0.852371
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,8,48,128,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,9,48,144,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,10,48,160,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,11,48,176,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,12,48,192,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,13,48,208,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,3,14,48,224,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,0,64,0,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,1,64,16,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,2,64,32,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,3,64,48,0.500000,1,28956.445312,15013.546875,0.518487,335285.156250,237575.191406,0.708577
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,4,64,64,1.000000,1,28956.445312,3109.007812,0.107368,335285.156250,141726.726562,0.422705
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,5,64,80,1.000000,1,28956.445312,3109.007812,0.107368,335285.156250,141726.726562,0.422705
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,6,64,96,1.000000,1,28956.445312,3109.007812,0.107368,335285.156250,141726.726562,0.422705
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,7,64,112,0.500000,1,28956.445312,15013.546875,0.518487,335285.156250,237575.191406,0.708577
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,8,64,128,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,9,64,144,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,10,64,160,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,11,64,176,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
checkerboard,aligned,64,64,64,1,fine_32,32,16,4,12,64,192,0.000000,0,28956.445312,28956.445312,1.000000,335285.156250,335285.156250,1.000000
