fixture_id,fixture_family,mutation,encoder,policy,platform_profiles,source_decode_rate,output_rate,strict_accept_rate_among_outputs,output_decode_rate_among_outputs,byte_exact_envelope_rate_among_applicable,semantic_retention_rate_among_applicable,compressed_core_exact_rate,pixel_exact_rate_among_decoded_outputs,unique_output_jpeg_hashes,unique_output_pixel_hashes,behavior_signature_count,error_categories
exif_orientation_9,malformed_exif,orientation_out_of_range,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_orientation_9,malformed_exif,orientation_out_of_range,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_truncated_header,malformed_exif,truncated_tiff_header,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
exif_truncated_header,malformed_exif,truncated_tiff_header,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
exif_truncated_header,malformed_exif,truncated_tiff_header,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,pillow,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,opencv,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,0.000000,nan,1.000000,1.000000,1,1,1,none
icc_duplicate_sequence,malformed_icc,duplicate_sequence_one,opencv,reject,5,1.000000,0.000000,nan,nan,nan,nan,nan,nan,0,0,1,strict_policy_reject
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,pillow,preserve,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,pillow,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1,1,1,none
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,pillow,normalize,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,pillow,reject,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,opencv,preserve,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,opencv,strip,5,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1,1,1,none
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,opencv,normalize,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
icc_gamma_2_2_valid,valid_icc,single_complete_chunk,opencv,reject,5,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1,1,1,none
icc_inconsistent_chunk_count,malformed_icc,chunk_counts_two_and_three,pillow,preserve,5,1.000000,1.000000,0.000000,1.000000,1.000000,nan,1.000000,1.000000,1,1,1,none
