pipeline,pipeline_description,noise_std,blur_sigma,metric,observations,same_input_ratio_mean,same_input_ratio_sample_std,same_input_ratio_p10,same_input_ratio_median,same_input_ratio_p90,sharp_anchor_ratio_mean,sharp_anchor_ratio_sample_std,zero_fraction_mean,full_scale_fraction_mean
contrast_0_5,Grayscale linear transform with alpha 0.50,0,0,laplacian_variance,30,0.250919,0.001314,0.250000,0.250012,0.252746,0.250919,0.001314,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,0,0,tenengrad_energy,30,0.250680,0.000972,0.250000,0.250008,0.252032,0.250680,0.000972,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,0,1,laplacian_variance,30,0.271310,0.026622,0.250781,0.254899,0.308249,0.013243,0.001972,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,0,1,tenengrad_energy,30,0.250821,0.001069,0.249488,0.250918,0.252058,0.119799,0.011824,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,0,2,laplacian_variance,30,0.364086,0.112154,0.257566,0.318711,0.515981,0.003598,0.001307,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,0,2,tenengrad_energy,30,0.251368,0.001313,0.249987,0.251024,0.253092,0.058097,0.017346,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,0,3,laplacian_variance,30,0.450810,0.159796,0.285251,0.405263,0.661917,0.002511,0.001849,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,0,3,tenengrad_energy,30,0.251176,0.004235,0.246559,0.250321,0.256649,0.029825,0.017511,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,5,0,laplacian_variance,30,0.252296,0.002399,0.250071,0.251211,0.255675,0.346166,0.112073,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,5,0,tenengrad_energy,30,0.250562,0.000742,0.250003,0.250100,0.251672,0.265455,0.019238,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,5,1,laplacian_variance,30,0.256662,0.003746,0.251779,0.257373,0.260854,0.107692,0.109358,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,5,1,tenengrad_energy,30,0.250976,0.001228,0.250023,0.250198,0.252765,0.134277,0.028718,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,5,2,laplacian_variance,30,0.259113,0.002166,0.256130,0.259999,0.261076,0.097818,0.112315,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,5,2,tenengrad_energy,30,0.251455,0.001762,0.250069,0.250411,0.253990,0.072322,0.033177,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,5,3,laplacian_variance,30,0.260488,0.000914,0.259290,0.260506,0.261627,0.096718,0.112818,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,5,3,tenengrad_energy,30,0.252061,0.002160,0.250362,0.250738,0.255217,0.044060,0.034523,0.000000,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,15,0,laplacian_variance,30,0.250615,0.000415,0.250095,0.250715,0.251132,1.057710,0.950047,0.000009,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,15,0,tenengrad_energy,30,0.250260,0.000311,0.250004,0.250084,0.250699,0.373349,0.159607,0.000009,0.000000
contrast_0_5,Grayscale linear transform with alpha 0.50,15,1,laplacian_variance,30,0.251030,0.000237,0.250679,0.251070,0.251333,0.823346,0.949468,0.000002,0.000000
